steering_wheel_angle,,等效转角,,
-237.49 ,-0.238321147,-13.6547959,,14.58348937
-236.91 ,-0.237809205,-13.62546375,,14.5847583
-236.32 ,-0.237297062,-13.59612013,,14.58602813
-235.74 ,-0.236784633,-13.56676013,,14.58729437
-235.16 ,-0.236271835,-13.53737896,,14.58855611
-234.58 ,-0.235758888,-13.50798925,,14.58981051
-234.00 ,-0.235245707,-13.47858618,,14.59106883
-233.42 ,-0.234732111,-13.44915925,,14.59231975
-232.84 ,-0.234218416,-13.41972673,,14.593566
-232.26 ,-0.233704342,-13.39027245,,14.59480846
-231.68 ,-0.233190006,-13.36080319,,14.59604675
-231.10 ,-0.232675427,-13.33131998,,14.59728117
-230.52 ,-0.232160524,-13.30181822,,14.59852002
-229.94 ,-0.231645317,-13.27229901,,14.59974628
-229.36 ,-0.231129921,-13.24276898,,14.60096763
-228.78 ,-0.230614257,-13.21322361,,14.60218992
-228.20 ,-0.230098247,-13.18365842,,14.6034122
-227.62 ,-0.229582007,-13.15408005,,14.60462107
-227.03 ,-0.22906546,-13.12448407,,14.60583426
-226.45 ,-0.228548624,-13.09487159,,14.60703948
-225.87 ,-0.22803152,-13.06524372,,14.60824845
-225.29 ,-0.227514167,-13.03560155,,14.60944433
-224.71 ,-0.226996489,-13.00594079,,14.61064003
-224.13 ,-0.2264786,-12.97626794,,14.61183145
-223.55 ,-0.225960333,-12.94657343,,14.61302265
-222.97 ,-0.225441801,-12.91686374,,14.61420501
-222.39 ,-0.224923025,-12.88714002,,14.61539159
-221.81 ,-0.22440393,-12.85739811,,14.61656926
-221.23 ,-0.223884539,-12.8276392,,14.61775114
-220.65 ,-0.223364872,-12.79786445,,14.61891945
-220.07 ,-0.222844948,-12.76807502,,14.62008679
-219.49 ,-0.222324698,-12.7382669,,14.62125474
-218.91 ,-0.221804233,-12.70844644,,14.6224171
-218.32 ,-0.221283394,-12.67860453,,14.62357077
-217.74 ,-0.220762291,-12.64874754,,14.62472801
-217.16 ,-0.220240857,-12.61887158,,14.62588113
-216.58 ,-0.219719202,-12.58898294,,14.62702849
-216.00 ,-0.21919717,-12.55907273,,14.62816641
-215.42 ,-0.218674872,-12.52914725,,14.62931832
-214.84 ,-0.218152328,-12.49920771,,14.63045078
-214.26 ,-0.217629474,-12.46925036,,14.63158727
-213.68 ,-0.217106245,-12.43927155,,14.63271413
-213.10 ,-0.216582836,-12.40928239,,14.63384025
-212.52 ,-0.216059011,-12.37926943,,14.63496137
-211.94 ,-0.215534963,-12.34924374,,14.63608649
-211.36 ,-0.215010547,-12.31919689,,14.63720178
-210.78 ,-0.214485868,-12.28913502,,14.63831623
-210.20 ,-0.21396095,-12.25905941,,14.63942555
-209.62 ,-0.213435647,-12.2289618,,14.64053397
-209.03 ,-0.212910068,-12.19884829,,14.64163719
-208.45 ,-0.212384151,-12.16871549,,14.64273946
-207.87 ,-0.211858003,-12.13856944,,14.64383102
-207.29 ,-0.211331484,-12.1084021,,14.64492699
-206.71 ,-0.210804698,-12.07821951,,14.64601761
-206.13 ,-0.210277589,-12.04801837,,14.64710717
-205.55 ,-0.2097501,-12.01779547,,14.64818581
-204.97 ,-0.209222416,-11.98756141,,14.6492688
-204.39 ,-0.208694321,-11.9573038,,14.65034629
-203.81 ,-0.20816592,-11.92702868,,14.65142205
-203.23 ,-0.207637238,-11.89673743,,14.65249277
-202.65 ,-0.207108221,-11.86642697,,14.65356728
-202.07 ,-0.206578893,-11.83609873,,14.65462552
-201.49 ,-0.206049281,-11.80575416,,14.65569309
-200.91 ,-0.205519331,-11.77539025,,14.65674424
-200.32 ,-0.204989069,-11.74500847,,14.65780472
-199.74 ,-0.204458444,-11.71460593,,14.65884863
-199.16 ,-0.203927559,-11.68418847,,14.659907
-198.58 ,-0.203396288,-11.65374888,,14.66094354
-198.00 ,-0.202864733,-11.62329303,,14.66199457
-197.42 ,-0.202332845,-11.59281809,,14.66302875
-196.84 ,-0.201800651,-11.5623256,,14.66406657
-196.26 ,-0.201268177,-11.53181708,,14.66509309
-195.68 ,-0.200735302,-11.50128558,,14.66612322
-195.10 ,-0.2002022,-11.47074111,,14.66714192
-194.52 ,-0.199668679,-11.44017263,,14.66816418
-193.94 ,-0.199134841,-11.40958594,,14.66918019
-193.36 ,-0.198600712,-11.37898262,,14.67019974
-192.78 ,-0.198066249,-11.34836011,,14.67120765
-192.20 ,-0.197531478,-11.31772003,,14.67221321
-191.61 ,-0.196996358,-11.28705991,,14.67321284
-191.03 ,-0.196460917,-11.25638139,,14.67421594
-190.45 ,-0.195925183,-11.2256861,,14.6752066
-189.87 ,-0.195389115,-11.19497166,,14.67620121
-189.29 ,-0.194852672,-11.16423574,,14.67718921
-188.71 ,-0.194315885,-11.13348008,,14.67817464
-188.13 ,-0.193778782,-11.10270635,,14.67915934
-187.55 ,-0.193241393,-11.07191624,,14.68013596
-186.97 ,-0.192703679,-11.04110752,,14.68111176
-186.39 ,-0.192165603,-11.01027803,,14.68208489
-185.81 ,-0.191627128,-10.97942567,,14.68305163
-185.23 ,-0.191088419,-10.94855992,,14.68402168
-184.65 ,-0.190549306,-10.91767101,,14.68497864
-184.07 ,-0.190009886,-10.88676456,,14.685945
-183.49 ,-0.189470126,-10.85583856,,14.68689867
